External_Id__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__Rule__r.External_Id__c,SBQQ__RuleLookupObject__c,SBQQ__SourceLookupField__c,SBQQ__SourceVariable__r.External_Id__c,SBQQ__TargetObject__c,SBQQ__Value__c,SBQQ__ValueField__c
EX-0230649,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set DCC Geo List Price from List 2  : "" & Text(SBQQ__ListPrice__c ) & ""GEO : "" & Text(DCC_Geo_List_Price__c)",100,EX-000025,,,,Quote Line,,
EX-0230650,Horizon_Contract_Number__c,Parent_Horizon_Contract_Number__c,,EX-000029,,,,Quote Line,,
EX-0230651,SBQQ__NetPrice__c,"(SBQQ__UpgradedSubscription__r.SBQQ__NetPrice__c*SBQQ__ProrateMultiplier__c)*IF(SBQQ__Quantity__c < SBQQ__PriorQuantity__c, -1, 1)",30,EX-000010,,,,Quote Line,,
EX-0230652,Price_Rule_Audit_Rich_Text__c,,500,EX-000022,,,,Quote Line,'Start' +br(),
EX-0230653,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Initial ARR""",10,EX-000019,,,,Quote Line,,
EX-0230654,Package_Code_Number__c,,,EX-000004,,,EX-000009,Quote Line,,
EX-0230655,Project_Level_of_Detail_Multiplier__c,"IF(ISBLANK(Project_Level_of_Detail__c), 1,

CASE(TEXT(Project_Level_of_Detail__c), 
""Summary only"", 0.4, 
""By Project Type"", 1,
1)

)",,EX-000013,,,,Quote Line,,
EX-0230656,SBQQ__ListPrice__c,"IF(TEXT(SBQQ__BillingFrequency__c) = ""Quarterly"" , SBQQ__ListPrice__c * 1.05,
    IF(TEXT(SBQQ__BillingFrequency__c) = ""Monthly"", SBQQ__ListPrice__c * 1.1,
    1))",,EX-000012,,,,Quote Line,,
EX-0230657,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Configured Package Code on Standalone""",,EX-000006,,,,Quote Line,,
EX-0230658,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit__c & BR() & ""Media Invoice Comments""",,EX-000016,,,,Quote Line,,
EX-0230659,SBQQ__Discount__c,"IF(AND(SBQQ__ListPrice__c =0,SBQQ__NetTotal__c= 0, NOT(SBQQ__TotalDiscountRate__c= 100)),
null,
SBQQ__Quote__r.Additional_Discount__c)",20,EX-000033,,,,Quote Line,,
EX-0230660,Invoice_Comments__c,Ad_Caption__c,,EX-000038,,,,Quote Line,,
EX-0230661,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Slab Pricing Cancellation""",,EX-000010,,,,Quote Line,,
EX-0230662,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Refresh Prices"" + TExt(List_Price_Option_PriceBook__c)",500,EX-20230328.02,,,,Quote Line,,
EX-0230663,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Analytics Geo List Price 2:"" & text(SBQQ__ListPrice__c)",100,EX-000026,,,,Quote Line,,
EX-0230664,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set DCC Geo List Price from List 1  : "" & Text(SBQQ__ListPrice__c ) & ""GEO : "" & Text(DCC_Geo_List_Price__c)",10,EX-000025,,,,Quote Line,,
EX-0230665,Account__c,SBQQ__Quote__r.SBQQ__Account__c,,EX-000018,,,,Product Option,,
EX-20230328.01,SBQQ__UpliftAmount__c,,10,EX-20230320.4,,,,Quote Line,,
EX-20230328.05,SBQQ__ListPrice__c,List_Price_Option_PriceBook__c,10,EX-20230328.02,,,,Quote Line,,
EX-20230328.07,SBQQ__Uplift__c,,20,EX-20230320.4,,,,Quote Line,,
EX-20230328.20,SBQQ__AdditionalDiscountAmount__c,,10,EX-20230320.2,,,,Quote Line,,
EX-20230328.21,Discount (Amt),,10,EX-20230320.2,,,,Quote Line,,
EX-20230328.22,SBQQ__Discount__c,,30,EX-20230320.2,,,,Quote Line,,
EX-20230401.01,SBQQ__Quantity__c,,,EX-20230328.01,,,,Quote Line,0,
EX-20230401.04,SBQQ__Quantity__c,,,EX-20230320.30,,,,Quote Line,0,
EX-20230401.20,Geo__c,,10,EX-20230320.3,,,,Quote Line,,
EX-20230401.22,Geo__c,,10,EX-20230302.0,,,,Quote Line,NBD,
EX-20230405.05,Count_of_Invalid_Seats__c,,,EX-20230505.02,,,,Quote,true,
EX-20230505.04,Count_Of_Missing_GEOs__c,,,EX-20230505.01,,,EX-20230505.02,Quote,,
EX-20230511.06,SPV__c,""";"" & TEXT(  SBQQ__RequiredBy__r.States__c  ) & "";""",10,EX-20230511.01,,,,Quote Line,,
EX-20230511.10,PDF_Sub_Line_Description__c,State_Picklist_Label_Values__c,20,EX-20230511.01,,,,Quote Line,,
EX-20230515.055,Count_Of_Missing_GEOs__c,,10,EX-000005,,,EX-20230505.02,Quote,,
EX-20230515.35,Count_of_Invalid_Seats__c,,10,EX-000005,,,EX-20230523.05,Quote,,
